Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmZtWnqpeWjKNFrjkZYu4sxbJ6on2qANMyEvvi7S8uffM5	ABC #73		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmdZGQYwKQwamcV1VZtj4yrEKSCAJu5p5wHJ9BpdRABX8t/metadata73.json
https://ipfs.infura.io/ipfs/QmeUAbkfSxy3uY3TmSiTjmVeEvs4id92A7qDPsDhoQbu85	ABC #74		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmatub1z2RJUXFx6oCtzubfufMgUkJkXYGF47PyoCTud85/metadata74.json
https://ipfs.infura.io/ipfs/QmXVarW79aZGBspj1kZaomSpBGuMwDhxhYTJeUrYRiLmZf	ABC #75		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWjH3gWbvGH2YgRyCN6eayNe3cmdWzZmTkRmLc3E1rHkp/metadata75.json
https://ipfs.infura.io/ipfs/QmeocNw61RetQ8X4p8uodgKHDsiePHQGdK3SWrfSZEdM6H	ABC #76		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSBXhkqXQxKEkC6pzGcme85fFGSMtQj1rAgBFNbcCLawd/metadata76.json
https://ipfs.infura.io/ipfs/QmTajn1EKPAZXx3j4DEBGRHAdmAkXr8cz7owGCXzWKthCY	ABC #77		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmSXX5LgLUe9WCKHQT2VHizTXbmiWjbAKz2LiChpazWLeD/metadata77.json
https://ipfs.infura.io/ipfs/QmYwE1MBSq5p8Uv5H1vyeYmknuAzKnb5mYXUPjdxCV8WXA	ABC #78		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWMjNSo8ptutGQVF7Xu9xe2jEqaPGEgxvuRnQhDMjjgqd/metadata78.json
https://ipfs.infura.io/ipfs/QmcB5FUMfPoZfMMgDP7zgJXS3SNGWmaEC6QfYcXQ9cyBK8	ABC #79		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmThQfLdRXCdfCHizBzQjK6Q5HLrHQrRjQ8mkGkmo1my5f/metadata79.json
https://ipfs.infura.io/ipfs/QmXWWEr8K4zRY7sQFHyddPgNnq1wWCvJu3db64fm2zJZ72	ABC #80		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmaEhgNkmUeHrcUbVT3P45x8N5YDs6uWmZ1fewjKk3cNxZ/metadata80.json
https://ipfs.infura.io/ipfs/QmPw1BEMqnnhDvhqYtF1qxnkHCRrKnH5ceyZebAoetuYR4	ABC #81		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYKGUC1383Mct2SFrwNarZ7JGRxWPKK9cFvTJAmreAHBM/metadata81.json
https://ipfs.infura.io/ipfs/QmW8Cut9L2SecNXyeSmY3oSWmG1YcndGyXcmnNcD1pEJp4	ABC #82		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmNwKQY2PDzGuZ1iE9hZkK1pn1sM7PMhtJNMR6xGtzZeyv/metadata82.json
https://ipfs.infura.io/ipfs/QmNYFFpcgoXDTdW9XgSUMb8SDnsmhAZfKQ9jv56372vwPv	ABC #83		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmX13XebAxWb2NaMDR3KJCua4J7hdpcorQmy1yAAFAhMUJ/metadata83.json
https://ipfs.infura.io/ipfs/QmWQjRV8zYABN7ayVZcVbxGQ6AT3SGXNpXos8RT6exVsHn	ABC #84		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYattopt5BXZiMXeWZkiLHfzALcxFXHw6AwYwz7dDC5SY/metadata84.json
https://ipfs.infura.io/ipfs/QmZbQYrQN7HFqnodDu36C2py8fjwrBif9m8t4N8zEWKKAE	ABC #85		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYiLxLpcn3gsjyGjUwrsr8pt3Ld1BMMaqkXZBHovWxdmK/metadata85.json
